ID,Type,ObjectType,Name,Priority,UUID,Trail Mileage,Latitude,Longitude,Trail Offset,Access Type,Capacity,Surface,Restrooms,Water,Hours,Fees,Verified,Source,Notes,PrimaryPhotoId,Narrative,icons,QR Code links,URL
R01,Park,POI,Occoquan Regional Park,1,,0,38.69341538,-77.25533878,,,,,yes,yes,0630-1700 (minimum),,,,,,,"nature, discovery",,
P01,Parking,Parking,Occoquan Regional Park parking,2,,0,38.68052,-77.25228,,At trailhead,50,paved,,,0630-1700 (minimum),None,,,"A word of caution:  Once the park closes, the gates go down, and you might not be able to drive out. Closing times vary by season — check before you go if you plan to park a vehicle there.  ",,,parking,,https://www.novaparks.com/parks/occoquan-regional-park
F01,"Food, Drink",POI,Brickmakers Café,3,,0,38.68117,-77.25306,,,,,,,"1100-1600 weekdays, 1100-1900 weekends",none,,,,PHBM01,NBM01,"food, libations",,https://www.novaparks.com/parks/brickmakers-cafe
H01,Historic,POI,Beehive Brick Kiln,3,,0.13,38.681471,-77.2533693,0.038,Short detour,,,,,Same as Occoquan Regional Park,none,,,,PHBK01,NBK01,history,,https://www.atlasobscura.com/places/beehive-brick-kiln-occoquan-regional-park
H02,Historic,POI,Turning Point Suffragist Memorial,3,,0.13,38.6816723,-77.2532934,0.06,Short detour,,,,,Same as Occoquan Regional Park,none,,,,PHTP01,NTP01,history,,https://suffragistmemorial.org/
V01,Viewpoint,POI,Sheperd Point Overlook,3,,0.42,38.6853324, -77.2570075,0.136,Side Trail,,,,,Same as Occoquan Regional Park,none,,,,,NSP01,viewpoint,,
H03,Historic,POI,Lorton and Occoquan Railroad Line ,3,,0.42,38.68436006,-77.25564505,,On Trail,,,,,Same as Occoquan Regional Park,none,,,,PHRR01,NOLRR01,history,,
H04,Historic,POI,Lorton Workhouse Guard Tower,3,,1.16,38.6958873,-77.25369229,0.015,On Trail,,,,,,none,,,,PHLG01, ,history,,
H05,Historic,POI,Lorton Water Treatment Plant,3,,1.26,38.69675425,-77.25240169,0.019,On Trail,,,,,,none,,,,PHWP01,,history,,
H06,Historic,POI,Lorton Heating Plant,3,,1.32,38.69788726,-77.25270082,0.019,On Trail,,,,,,none,,,,PHHP01,,history,,
F02,"Food, Drink",POI,Bunnyman Brewing & Café,3,,1.32,38.69844094,-77.25584299,0.25,Short detour,,,,,"Mo-Thu | 0700-2100, Fri 0700-2200, Sa 0900-2200, Su 0900-2000",,,,"The brewery takes its name from local legend: a patient from an insane asylum, being transferred to the Lorton workhouse, is said to have escaped into the nearby woods dressed in a bunny costume — becoming known ever after as “The Bunnyman.”",PHBB01,NBB01,"food, libations",,https://bunnymanbrewing.com/
H07,Historic,POI,Lucy Burns Museum,3,,1.32,38.69793483,-77.25407084,0.1137,Short detour,,,,,"Sat 1100 - 1800, Sun 1200-1700",none,,,,PHLBM01,NLBM01,history,,https://www.workhousearts.org/lorton-prison-museum
P02,Parking,Parking,Lorton Workhouse Parking,2,,1.5,38.69917105,-77.25473287,0.038,Along Trail,100,paved,,,,none,,,,,,parking,,
H08,Historic,POI,Barrel Bridge,3,,2.1,38.70514449,-77.24754819,,On Trail,,,,,,,,,,PHBBT01,NBBT01,history,,
H09,Historic,POI,Nike w64 Site,3,,2.13,38.70923306,-77.25342826,0.52,Detour,,,,,,,,,,PNW64,NNW64,history,,https://www.atlasobscura.com/places/nike-missile-site-w-64
H10,Historic,POI,Barrett House,3,,2.13,38.70627325,-77.24817866,0.09,Short detour,,,,,,,,,,PHBH01,NBH01,history,,
R02,Park,POI,Laurel Hill Park Central Green,3,,2.03,38.70416443,-77.24465185,0.114,Short detour,,,yes,yes,Closes at dark,None,,,,,,park ,,https://www.fairfaxcounty.gov/parks/picnics/laurel-hill-central-green
P03,Parking,Parking,Laurel Hill Park Central Green Parking,2,,2.03,38.70416443,-77.24465185,0.114,Short detour,75,paved,,,Closes at dark,None,,,,,,parking,,https://www.fairfaxcounty.gov/parks/picnics/laurel-hill-central-green
H11,Historic,POI,Hidden Box Car History ,3,,2.3,38.7076005,-77.2450289,,On Trail,,,,,,,,,,PHLBC01,NLBC01,history,,
H12,Historic,POI,Giles Run Trestle Bridge Site,3,,2.49,38.70930809,-77.24295046,,On Trail,,,,,,,,,,PHGRTB01,NGRTB01,history,,
H13,Historic,POI,Industrial Site Mystery,3,,2.49,38.70942734,-77.24280861,,Along Trail,,,,,,,,,,PHGRI01,NGRI01,discovery,,
P04,Parking,Parking,Giles Run Parking,2,,2.65,38.71040448,-77.24032381,,Along Trail,18,paved,,,,,,,,,,parking,,
R03,Park,Area,Laurel Hill Park ,1,,,,,,,,,,,,,,,,,,park ,,
H14,Historic,POI,Laurel Hill House,3,,3,38.70925594,-77.23383972,0.26,Short Detour,,,,,,,,,,PHLHH01,NLHH01,history,,
H15,Historic,POI,Laurel Hill Terraced Garden,3,,3,38.70930365,-77.23377794,0.26,Short Detour,,,,,,,,,,PHLHTG01,NLHTG01,history,,
H16,Historic,POI,Reformatory Power Plant,3,,3,38.71074336,-77.23538177,0.06,Short Detour,,,,,,,,,,PHREFPP01,NREFPP01,history,,
F03,"Food, Drink",PIO,Liberty Market,3,,,38.71377248,-77.23367936,0.038,Short Detour,,,,,,,,,,PHLMKT01,NLMKT01,"food, libations",,
P05,Parking,Parking,Liberty Market Parking,2,,3.13,38.71377248,-77.23367936,0.038,Short Detour,289,paved,,,,,,,,,,parking,,
W01,Waterway,Area,Pohick Stream,4,,,,,,,,,,,,,,,,,NPOHS01,,,
F04,"Food, Drink",POI,Pack a Picnic (Sunoco Station),3,,8.04,38.75647741,-77.2335702,0.43,Detour,,,yes,yes,,,,,,"PHGNG01, PHGNG02, PHGNG03",,"food, libations",,
W01,Waterway,Area,Accotink Stream Valley,4,,,,,,,,,,,,,,,,,,,,
P06,Parking,Parking,Hooes Road Trail Parking,2,,8.04,38.75742841,-77.2259582,,Along Trail,6,gravel,,,,,,,Note this has very limited parking.  See Gambrill Road Commuter Lot for an alternative,,,parking,,
P07,Parking,Parking,Gambrill Road Commuter Lot,2,,8.04,38.75531056,", -77.23251358072011",0.47,Detour,223,paved,,,,,,,,,NGRCP01,parking,,https://www.fairfaxcounty.gov/connector/riders/gambrill
R04,Park,POI,Yankee Field,3,,10.82,38.7791153,-77.20262525,0.03,Short Detour,,,seasonal,seasonal,,,,,,PHYANKFLD,NYANKFLD,discovery,,https://www.wsllbaseball.net/
P08,Parking,Parking,Yankee Field Parking,2,,10.82,38.7791153,-77.20262525,0.03,Short Detour,50,dirt,,,,,,,,,,parking,,
H17,Historic,POI,Civil War Era Tunnel,3,,11.99,38.79005862,-77.21174579,0.01,Short Detour,,,,,,,,,,PHCIVTUN,NCIVTUN,history,,https://www.atlasobscura.com/places/orange-and-alexandria-railroad-culvert
H18,Historic,POI,The Orange and Alexandria Railroad,3,,12.49,38.79303563,-77.21875172,,Along Trail,,,,,,,,,,PHORGRR,NORGRR,history,,
W02,Waterway,POI,Lake Accotink,3,,12.69,38.79386602,-77.21547104,,Along Trail,,,yes,yes,,,,,,"PHLAKEAC01, PHLAKEAC02",NLAKEAC,park,,
P09,Parking,Parking,Lake Accotink Parking,2,,12.44,38.79410326,-77.2145883,,Along Trail,200,gravel,,,Closes at dark,,,,,,,parking,,
H19,Historic,PIOI,Ravensworth Historical Marker,3,,14.79,38.80965038,-77.22098013,0.54,Detour,,,,,,,,,,PHRAVHM,NRAVHM,history,,
